ticker,type,message
AG,NO_TRADES,No trades constructed under constraints
AGNC,NO_TRADES,No trades constructed under constraints
CX,NO_TRADES,No trades constructed under constraints
EXK,NO_TRADES,No trades constructed under constraints
F,NO_TRADES,No trades constructed under constraints
HL,NO_TRADES,No trades constructed under constraints
JOBY,NO_TRADES,No trades constructed under constraints
NGD,NO_TRADES,No trades constructed under constraints
NU,NO_TRADES,No trades constructed under constraints
NVTS,NO_TRADES,No trades constructed under constraints
ONDS,NO_TRADES,No trades constructed under constraints
SBSW,NO_TRADES,No trades constructed under constraints
UEC,NO_TRADES,No trades constructed under constraints
VALE,NO_TRADES,No trades constructed under constraints
