trades,win_rate,avg_ret_on_debit,median_ret_on_debit,avg_pnl,median_pnl,max_drawdown_ret,cum_ret_simple,ticker
1,1.0,1.3547989982846662,1.3547989982846662,1.7260059129525174,1.7260059129525174,0.0,1.3547989982846662,BCS
1,1.0,1.2240447444889808,1.2240447444889808,1.6511062749822012,1.6511062749822012,0.0,1.2240447444889808,RGTI
16,0.625,0.27121962334556043,0.5036393153447427,0.9645971288376125,0.6682834407376406,,-1.0,PLTR
21,0.6190476190476191,0.40888857702503384,0.6205755720694522,0.792529686527194,1.6406289293443215,-1.0,-1.0,NVDA
29,0.5862068965517241,0.409183089138123,0.41050412338049336,0.7795696132489492,0.8043323470412727,-1.0,-1.0,TD
29,0.5862068965517241,0.34770728182234656,0.22756831837026323,0.8538998125038104,0.36189218162592396,,-1.0,WMT
23,0.5652173913043478,0.15011202859983347,0.01769427248853726,0.18362146695061024,0.023138441553798295,-1.0,-1.0,CNQ
29,0.5517241379310345,0.36575621315529117,0.37201842754892955,2.1716798071887213,0.8598294665882493,-1.0,-1.0,AVGO
29,0.5517241379310345,0.3499908291282954,0.44427254671614863,0.475499054418347,0.5474680493837076,-1.0,-1.0,BAC
29,0.5517241379310345,0.2937522088377553,0.14641400461582801,1.0823633131277268,0.8257145166180084,-1.0,-1.0,CVX
29,0.5517241379310345,0.33999855326110856,1.1444704558318144,0.5148175318415945,1.6740474486852372,-1.0,-1.0,GM
29,0.5517241379310345,0.41774764620905397,0.4964333858791878,2.2876002386922556,2.402053959405297,-1.0,-1.0,GOOG
29,0.5517241379310345,0.4344223967724983,0.5191364039941596,2.208199515596879,2.163514108361049,-1.0,-1.0,GOOGL
29,0.5517241379310345,0.20056387716416377,0.0698011975079219,0.3384814628811825,0.09565091440457207,-1.0,-1.0,USB
13,0.5384615384615384,0.15385677849008164,0.06946161009662671,0.19515987996471099,0.08960317326500133,-1.0,-1.0,CCL
29,0.5172413793103449,0.1728430793969621,0.2476905347628865,0.5574383378598309,1.4372801446544923,,-1.0,AMZN
29,0.5172413793103449,0.30844980899152696,0.7553182154148158,0.6990967862982669,1.8270334962151327,-1.0,-1.0,SCHW
4,0.5,-0.34247631477563084,-0.4560300755352462,-0.4525606722520991,-0.5966905946244033,,-1.0,SBLK
2,0.5,0.13372615919585962,0.13372615919585962,0.17011466272344744,0.17011466272344744,-1.0,-1.0,WULF
29,0.4827586206896552,0.14144112720547436,-0.20317474143616465,0.08924358620726262,-0.32648049078585206,-1.0,-1.0,DAL
29,0.4827586206896552,0.14333807059816922,-0.2689970593206543,0.10301776763360353,-0.40192332017837495,-1.0,-1.0,FCX
29,0.4827586206896552,0.17122018948347512,-0.0019640527432640605,0.328907390315065,-0.00530870279544482,,-1.0,MRVL
29,0.4827586206896552,0.1206679200828818,-0.05245184687359268,0.16585008377197233,-0.07488672572490396,-1.0,-1.0,SLB
29,0.4482758620689655,0.10508589440779796,-0.2340388568195566,0.15079795206023075,-0.2692904576377515,-1.0,-1.0,LUV
29,0.4482758620689655,0.05801792042707537,-0.6237504671415148,0.14364694493095245,-1.3808174117095264,,-1.0,NEE
29,0.4482758620689655,0.0632764949755683,-1.0,-0.5188015591837674,-8.034232038287028,,-1.0,TSLA
26,0.4230769230769231,-0.09189547095653137,-1.0,-0.06189788471657958,-1.1349179355015977,,-1.0,HAL
29,0.41379310344827586,0.09424705254347511,-0.8195128818247349,0.3867343173657897,-3.7440441849369446,,-1.0,AAPL
29,0.41379310344827586,0.07078124240815321,-0.5465317330946986,-0.25100673554871755,-1.9640943843300152,,-1.0,AMD
29,0.41379310344827586,-0.051523828028648154,-1.0,-0.2546567694918642,-1.4888733049587537,-1.0,-1.0,LVS
27,0.4074074074074074,-0.04244097501943417,-0.8738011247262416,-0.08068324174791448,-1.2297349298160123,,-1.0,DVN
28,0.39285714285714285,-0.0987029381997946,-0.821989614717032,-0.23528487868455766,-1.189680545027492,-1.0,-1.0,INTC
29,0.3793103448275862,-0.005899684874026938,-0.5636976338998728,-0.26811704243209633,-1.1030902885908473,,-1.0,CGNX
29,0.3793103448275862,-0.14460508041301642,-1.0,-0.7029827012166537,-3.0709010162602293,-1.0,-1.0,WYNN
8,0.375,-0.17423709205175972,-1.0,-0.20193578706260085,-1.1656263981848858,-1.0,-1.0,WBD
17,0.35294117647058826,-0.01466971888724746,-0.20410965685380333,-0.043360126592148045,-0.19638710538039228,,-1.0,EPD
9,0.3333333333333333,-0.3253655323979052,-1.0,-0.7428228113190816,-1.6794653161965927,-1.0,-1.0,LYFT
6,0.3333333333333333,-0.260616653156626,-1.0,-0.3465215261486339,-1.3414088525043826,,-1.0,SOFI
4,0.25,-0.625605451522115,-0.7776298414626337,-0.813139330720826,-1.0254391953239246,-1.0,-1.0,AAL
4,0.25,-0.41083045754334035,-1.0,-0.5595536310714163,-1.3145888698981336,,-1.0,HPE
8,0.25,-0.44077037436974204,-1.0,-0.8164744078663255,-1.339932554696452,-1.0,-1.0,RIOT
9,0.2222222222222222,-0.4072571478601576,-1.0,-0.532456355725341,-1.2873066230971364,-1.0,-1.0,CLF
6,0.16666666666666666,-0.47243325713287465,-1.0,-0.6722047339705729,-1.3055298846334527,-1.0,-1.0,QS
1,0.0,-1.0,-1.0,-1.3006519910409846,-1.3006519910409846,,-1.0,CIFR
1,0.0,-1.0,-1.0,-1.3101530814072428,-1.3101530814072428,,-1.0,EOSE
1,0.0,-1.0,-1.0,-1.3267354678706704,-1.3267354678706704,,-1.0,KEY
9,0.0,-0.8953689680377556,-1.0,-1.6001666248124866,-1.357268709961258,,-1.0,PATH
1,0.0,-1.0,-1.0,-1.3085280384776476,-1.3085280384776476,,-1.0,PONY
1,0.0,-1.0,-1.0,-1.7786550744583565,-1.7786550744583565,,-1.0,RKT
1,0.0,-1.0,-1.0,-1.3272860236418844,-1.3272860236418844,,-1.0,UUUU
