"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc","Healthcare","Diagnostics & Research","USA",41322.79,32.50,148.52,1.89%,1819076
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",15820.11,14.46,63.67,4.22%,7025331
3,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",10383.16,19.22,15.99,1.65%,51614166
4,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",2253.92,,34.04,3.12%,5546323
5,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",3827666.49,34.77,259.37,0.13%,39996967
6,"ABVX","Abivax ADR","Healthcare","Biotechnology","France",8973.54,,114.40,-0.94%,1709559
7,"ACAD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology","USA",4552.68,17.23,26.78,-0.48%,756941
8,"ACMR","ACM Research Inc","Technology","Semiconductor Equipment & Materials","USA",3191.27,31.11,53.22,8.19%,2251664
9,"ADI","Analog Devices Inc","Technology","Semiconductors","USA",146484.92,65.86,300.93,0.59%,3088141
10,"ADM","Archer Daniels Midland Co","Consumer Defensive","Farm Products","USA",29406.06,25.20,61.94,1.23%,3568058
11,"ADPT","Adaptive Biotechnologies Corp","Healthcare","Biotechnology","USA",2436.54,,15.76,-1.25%,2468957
12,"AEE","Ameren Corp","Utilities","Utilities - Regulated Electric","USA",26925.06,19.22,99.91,0.37%,1452482
13,"AEM","Agnico Eagle Mines Ltd","Basic Materials","Gold","Canada",95961.84,27.92,191.14,2.50%,2581449
14,"AEO","American Eagle Outfitters Inc","Consumer Cyclical","Apparel Retail","USA",4703.96,23.15,26.82,-3.35%,9186773
15,"AEP","American Electric Power Company Inc","Utilities","Utilities - Regulated Electric","USA",61917.57,17.11,116.91,0.85%,2867699
16,"AER","Aercap Holdings N.V","Industrials","Rental & Leasing Services","Ireland",25981.77,6.85,144.30,-1.94%,1232750
17,"AES","AES Corp","Utilities","Utilities - Diversified","USA",10126.36,8.72,14.32,0.70%,7743770
18,"AFL","Aflac Inc","Financial","Insurance - Life","USA",57788.80,14.24,109.24,-0.93%,1720992
19,"AFRM","Affirm Holdings Inc","Technology","Software - Infrastructure","USA",26938.35,119.31,81.80,0.23%,2649571
20,"AG","First Majestic Silver Corporation","Basic Materials","Silver","Canada",9289.16,154.24,18.91,5.64%,21938724
21,"AGI","Alamos Gold Inc","Basic Materials","Gold","Canada",17553.09,32.79,41.81,0.46%,2200252
22,"AGNC","AGNC Investment Corp","Real Estate","REIT - Mortgage","USA",12239.78,17.25,11.41,1.97%,38543641
