ticker,expiry,underlying_price,long_strike,long_bid,long_ask,short_strike,short_bid,short_ask,width,debit,max_profit,rrr,dte
AAPL,2026-05-15,264.7200012207031,260.0,17.3,17.55,290.0,4.3,4.45,30.0,13.25,16.75,1.2641509433962264,73
AG,2026-04-17,31.600000381469727,31.0,4.15,4.3,34.0,3.0,3.25,3.0,1.2999999999999998,1.7000000000000002,1.307692307692308,45
AMD,2026-05-15,198.6199951171875,195.0,22.85,23.15,210.0,16.0,16.25,15.0,7.149999999999999,7.850000000000001,1.0979020979020984,73
AMZN,2026-05-15,208.38999938964844,205.0,17.45,17.6,225.0,8.45,8.6,20.0,9.150000000000002,10.849999999999998,1.1857923497267755,73
AVGO,2026-05-15,318.82000732421875,310.0,35.9,37.1,340.0,22.3,22.85,30.0,14.8,15.2,1.027027027027027,73
BAC,2026-04-02,49.810001373291016,49.0,2.18,2.34,54.0,0.35,0.44,5.0,1.9899999999999998,3.0100000000000002,1.512562814070352,30
BCS,2026-04-17,23.709999084472656,23.0,1.65,1.8,26.0,0.35,0.5,3.0,1.4500000000000002,1.5499999999999998,1.068965517241379,45
CCL,2026-04-17,29.139999389648438,29.0,2.42,2.65,32.0,1.2,1.44,3.0,1.45,1.55,1.0689655172413794,45
CNQ,2026-04-17,44.349998474121094,42.5,3.0,3.3,47.5,0.9,1.1,5.0,2.4,2.6,1.0833333333333335,45
CVX,2026-05-15,189.60000610351562,185.0,12.9,13.4,200.0,5.9,6.2,15.0,7.5,7.5,1.0,73
EPD,2026-04-17,36.88999938964844,36.0,1.59,1.94,40.0,0.03,0.43,4.0,1.91,2.09,1.094240837696335,45
GM,2026-04-17,77.76000213623047,77.5,3.9,4.25,85.0,1.19,1.35,7.5,3.06,4.4399999999999995,1.4509803921568625,45
GOOG,2026-05-15,306.3599853515625,305.0,21.7,21.85,335.0,9.5,9.6,30.0,12.350000000000001,17.65,1.42914979757085,73
GOOGL,2026-05-15,306.5199890136719,305.0,21.95,22.1,335.0,9.7,9.85,30.0,12.400000000000002,17.599999999999998,1.419354838709677,73
HAL,2026-05-15,35.970001220703125,35.0,3.15,3.5,39.0,1.61,1.86,4.0,1.89,2.1100000000000003,1.1164021164021167,73
HL,2026-04-17,24.6299991607666,24.0,3.1,3.4,27.0,1.95,2.18,3.0,1.45,1.55,1.0689655172413794,45
INTC,2026-05-15,45.5,45.0,5.45,5.75,50.0,3.55,3.75,5.0,2.2,2.8,1.2727272727272725,73
KEY,2026-04-17,20.90999984741211,20.0,1.52,1.58,23.0,0.26,0.28,3.0,1.32,1.68,1.2727272727272727,45
LUV,2026-04-17,48.27000045776367,47.5,3.5,3.9,52.5,1.42,1.78,5.0,2.48,2.52,1.0161290322580645,45
MRVL,2026-05-15,80.86000061035156,80.0,9.5,9.7,85.0,7.4,7.6,5.0,2.299999999999999,2.700000000000001,1.1739130434782619,73
NEE,2026-04-17,92.70999908447266,92.5,3.5,3.85,100.0,0.95,1.14,7.5,2.9000000000000004,4.6,1.5862068965517238,45
NVDA,2026-05-15,182.47999572753906,180.0,16.15,16.3,200.0,7.55,7.65,20.0,8.75,11.25,1.2857142857142858,73
PLTR,2026-05-15,145.1699981689453,145.0,16.15,16.3,155.0,11.8,11.95,10.0,4.5,5.5,1.2222222222222223,73
SBLK,2026-05-15,26.889999389648438,26.0,2.05,2.25,29.0,0.8,0.95,3.0,1.45,1.55,1.0689655172413794,73
SCHW,2026-05-15,95.48999786376953,95.0,5.9,6.15,105.0,1.95,2.06,10.0,4.2,5.8,1.380952380952381,73
SLB,2026-05-15,51.27000045776367,50.0,4.5,4.6,55.0,2.34,2.42,5.0,2.26,2.74,1.2123893805309736,73
TD,2026-04-17,98.26000213623047,97.5,3.1,3.5,105.0,0.35,0.8,7.5,3.15,4.35,1.380952380952381,45
TSLA,2026-05-15,403.32000732421875,400.0,36.2,36.35,440.0,19.9,20.05,40.0,16.450000000000003,23.549999999999997,1.4316109422492398,73
USB,2026-04-02,54.630001068115234,54.0,2.1,2.48,60.0,0.2,0.4,6.0,2.28,3.72,1.6315789473684212,30
WBD,2026-05-15,28.5,28.0,0.14,1.15,31.0,0.03,0.04,3.0,1.1199999999999999,1.8800000000000001,1.6785714285714288,73
WMT,2026-05-15,127.0999984741211,125.0,7.95,8.25,135.0,3.45,3.65,10.0,4.8,5.2,1.0833333333333335,73
