contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,volume_nonzero,oi_ov,bas,ticker,expiry
AAL260320C00018000,2026-01-09 19:19:49+00:00,18.0,0.55,0.58,0.61,0.08000001,17.021278,168.0,8191,0.476567734375,False,REGULAR,USD,168.0,48.75595238095238,0.030000000000000027,AAL,2026-03-20
AAPL260320C00280000,2026-01-09 20:59:08+00:00,280.0,4.1,4.05,4.1,-0.22000027,-5.0925984,3262.0,49147,0.2503126727294922,False,REGULAR,USD,3262.0,15.066523605150214,0.04999999999999982,AAPL,2026-03-20
AAPL260320C00290000,2026-01-09 20:57:14+00:00,290.0,2.23,2.2,2.23,-0.119999886,-5.1063786,2630.0,13725,0.24719991088867188,False,REGULAR,USD,2630.0,5.218631178707224,0.029999999999999805,AAPL,2026-03-20
AAPL260320C00295000,2026-01-09 20:49:25+00:00,295.0,1.63,1.59,1.64,-0.110000014,-6.32184,435.0,6661,0.24750508361816403,False,REGULAR,USD,435.0,15.312643678160919,0.04999999999999982,AAPL,2026-03-20
AAPL260320C00300000,2026-01-09 20:59:19+00:00,300.0,1.21,1.18,1.2,-0.07999992,-6.201545,2421.0,34020,0.2482374981689453,False,REGULAR,USD,2421.0,14.052044609665428,0.020000000000000018,AAPL,2026-03-20
AAPL260320C00310000,2026-01-09 20:46:23+00:00,310.0,0.66,0.64,0.67,-0.01999998,-2.9411738,372.0,7631,0.2534254345703125,False,REGULAR,USD,372.0,20.513440860215052,0.030000000000000027,AAPL,2026-03-20
AG260220C00019000,2026-01-09 20:58:38+00:00,19.0,2.16,2.13,2.21,0.46000004,27.058825,401.0,6511,0.8876964355468748,False,REGULAR,USD,401.0,16.236907730673316,0.08000000000000007,AG,2026-02-20
AG260220C00020000,2026-01-09 20:59:51+00:00,20.0,1.79,1.76,1.83,0.39,27.857143,932.0,9152,0.8984385156249999,False,REGULAR,USD,932.0,9.819742489270386,0.07000000000000006,AG,2026-02-20
AG260220C00021000,2026-01-09 20:46:49+00:00,21.0,1.43,1.42,1.51,0.27999997,24.347824,136.0,4011,0.901368173828125,False,REGULAR,USD,136.0,29.49264705882353,0.09000000000000008,AG,2026-02-20
AG260220C00024000,2026-01-09 20:55:58+00:00,24.0,0.88,0.83,0.9,0.20999998,31.343279,154.0,1019,0.9521489160156249,False,REGULAR,USD,154.0,6.616883116883117,0.07000000000000006,AG,2026-02-20
AGNC260320C00012000,2026-01-09 20:51:57+00:00,12.0,0.14,0.13,0.18,0.04,39.999996,1134.0,12729,0.20313296874999998,False,REGULAR,USD,1134.0,11.224867724867725,0.04999999999999999,AGNC,2026-03-20
AMD260320C00210000,2026-01-09 20:59:34+00:00,210.0,15.55,15.5,15.6,-1.1500006,-6.8862305,416.0,6494,0.5287522711181643,False,REGULAR,USD,416.0,15.610576923076923,0.09999999999999964,AMD,2026-03-20
AMD260320C00220000,2026-01-09 20:58:23+00:00,220.0,11.9,11.85,11.95,-1.0500002,-8.10811,1022.0,8403,0.5269822692871093,False,REGULAR,USD,1022.0,8.222113502935422,0.09999999999999964,AMD,2026-03-20
AMD260320C00250000,2026-01-09 20:57:51+00:00,250.0,5.2,5.15,5.25,-0.5,-8.77193,833.0,13002,0.5341233111572266,False,REGULAR,USD,833.0,15.608643457382954,0.09999999999999964,AMD,2026-03-20
AMD260320C00270000,2026-01-09 20:33:18+00:00,270.0,2.96,2.96,3.05,-0.3599999,-10.84337,185.0,3965,0.5441940112304688,False,REGULAR,USD,185.0,21.43243243243243,0.08999999999999986,AMD,2026-03-20
AMD260320C00280000,2026-01-09 20:09:55+00:00,280.0,2.27,2.27,2.32,-0.26999998,-10.629921,206.0,5865,0.5498091894531252,False,REGULAR,USD,206.0,28.47087378640777,0.04999999999999982,AMD,2026-03-20
AMD260320C00300000,2026-01-09 20:53:45+00:00,300.0,1.35,1.35,1.39,-0.13999999,-9.395972,847.0,7919,0.562626444091797,False,REGULAR,USD,847.0,9.349468713105077,0.039999999999999813,AMD,2026-03-20
AMD260320C00310000,2026-01-09 20:44:42+00:00,310.0,1.1,1.05,1.09,-0.049999952,-4.347822,84.0,1202,0.569340244140625,False,REGULAR,USD,84.0,14.30952380952381,0.040000000000000036,AMD,2026-03-20
AMD260320C00320000,2026-01-09 20:47:26+00:00,320.0,0.87,0.82,0.87,-0.060000002,-6.4516134,155.0,4603,0.5766643896484375,False,REGULAR,USD,155.0,29.696774193548386,0.050000000000000044,AMD,2026-03-20
